sku;ITEM;PX VENTA;costo;stock minimo;CATEGORIA
1-00701;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 1 X 1 MARFIL;803,30448;414,93;;Duracril
1-00702;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 1 X 1 ROSA;803,30448;414,93;;Duracril
1-00703;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 1 X 1 TRAFUL;803,30448;414,93;;Duracril
1-00704;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 1 X 1 VERDE CLARO;803,30448;414,93;;Duracril
1-00705;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 1 X 1/2 BLANCO;485,89728;250,98;;Duracril
1-00706;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 1 X 1/2 BLANCO MATE;485,89728;250,98;;Duracril
1-00707;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 1 X 1/2 BLANCO SATINADO;485,89728;250,98;;Duracril
1-00708;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 1 X 1/2 CELESTE ;485,89728;250,98;;Duracril
1-00709;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 1 X 1/2 GRIS ESPACIAL;485,89728;250,98;;Duracril
1-00710;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 1 X 1/2 GRIS PERLA ;485,89728;250,98;;Duracril
1-00711;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 1 X 1/2 MARFIL;485,89728;250,98;;Duracril
1-00712;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 1 X 1/2 ROSA ;485,89728;250,98;;Duracril
1-00713;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 1 X 1/2 TRAFUL;485,89728;250,98;;Duracril
1-00714;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 1 X 1/2MARFIL CEDA;485,89728;250,98;;Duracril
1-00715;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 1 X 20 BLANCO ;14432,71423;7016,39;;Duracril
1-00716;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 1 X 4 BLANCO ;3157,65956;1535,08;;Duracril
1-00717;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 1 X 4 BLANCO MATE;3157,65956;1535,08;;Duracril
1-00718;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 1 X 4 BLANCO SATINADO;3157,65956;1535,08;;Duracril
1-00719;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 2 X 1 CEDRO;676,98048;349,68;;Duracril
1-00720;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 2 X 1 GRIS ;676,98048;349,68;;Duracril
1-00721;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 2 X 1 GRIS HIELO;676,98048;349,68;;Duracril
1-00722;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 2 X 1 MARRON;676,98048;349,68;;Duracril
1-00723;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 2 X 1 NEGRO;676,98048;349,68;;Duracril
1-00724;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 2 X 1 NEGRO MATE;676,98048;349,68;;Duracril
1-00725;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 2 X 1 NEGRO SATINADO;676,98048;349,68;;Duracril
1-00726;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 2 X 1 OCRE;676,98048;349,68;;Duracril
1-00727;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 2 X 1 TABACO;676,98048;349,68;;Duracril
1-00728;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 2 X 1 VICUÑA ;676,98048;349,68;;Duracril
1-00729;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 2 X 1/2 CEDRO;415,71728;214,73;;Duracril
1-00730;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 2 X 1/2 GRIS ;415,71728;214,73;;Duracril
1-00731;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 2 X 1/2 GRIS HIELO;415,71728;214,73;;Duracril
1-00732;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 2 X 1/2 MARRON;415,71728;214,73;;Duracril
1-00733;SINTECRIN ESMALTE TRIPLE ACCION GRUPO 2 X 1/2 NEGRO;415,71728;214,73;;Duracril
